PID,dateCaptured,field_contact_info,field_digital_origin,field_digital_reproduction_info,field_extent,field_form,"field_form, field_form_URI",field_form_URI,field_genre,field_identifier,field_institution_web_site,field_language_of_cataloging,field_linked_agent,field_note,field_oclc_symbol,field_physical_description_note,field_physical_location,"field_physical_location, field_institution_website",field_place_of_origin,field_preferred_citation,field_record_change_date,field_record_content_source,field_record_creation_date,field_record_origin,field_relation,field_repository_collection_guide,field_rights_information,field_rights_statement,field_shelf_location,field_subject_geographic,field_subject_topic,field_sublocation,nan
lsu-govdocs-p16313coll35:178,,E-mail diglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-06-06:00,,2013-11-01|2013-11-01,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-govdocs-p16313coll35:collection,,,,"Available in the Engineer Research & Development Center (EDRC) USACE, Vicksburg, MS http://acwc.sdp.sirsi.net/client/search/asset/1027442",,Dredging|Environmental aspects|Louisiana|Environmental protection|Louisiana,,
lsu-govdocs-p16313coll35:179,,E-mail diglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-06-06:00,,2013-11-01|2013-11-01,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-govdocs-p16313coll35:collection,,,,"Available in the Engineer Research & Development Center (EDRC) USACE, Vicksburg, MS http://acwc.sdp.sirsi.net/client/search/asset/1027443",,Dredging|Environmental aspects|Louisiana|Dredging|Mississippi River|Evaluation|Environmental protection|Louisiana,,
lsu-moa-cwd:117,,E-mail artmuseum@lsu.edu with questions or comments,,,19-1/8 x 11-1/2 in.,,,,,68.9.57|cd000072,,,PA,,,Color lithograph,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/18,,2004-08-13|2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Hands,,
lsu-moa-cwd:148,,E-mail artmuseum@lsu.edu with questions or comments,,,12-7/8 x 8-1/2 in.,,,,,68.9.21|cd000151,,,PA,,,Black lithograph,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/18,,2004-08-13|2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Men,,
lsu-moa-cwd:157,,E-mail artmuseum@lsu.edu with questions or comments,,,8-1/8 x 4-5/8 in.,,,,,67.1.5|cd000044,,,PA,,,Black electron,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/18,,2004-08-13|2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Stools|Women|Abstract paintings,,
lsu-moa-cwd:160,,E-mail artmuseum@lsu.edu with questions or comments,,,10-5/8 x 14 in.,,,,,68.9.1|cd000145,,,PA,,,Black lithograph,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/18,,2004-08-13|2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Priests,,
lsu-moa-cwd:16,,E-mail artmuseum@lsu.edu with questions or comments,,,15-1/8 x 7-5/8 in.,,,,,68.9.33|cd000178,,,JC,,,Black lithograph,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/18,,2004-08-13|2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Carnival|Balls (Parties)|Kings|Queens|Masquerades,,
lsu-moa-cwd:199,,E-mail artmuseum@lsu.edu with questions or comments,,,14 x 15-1/2 in.,,,,,76.12.12|cd000015,,,JC,,,Black and white cliché-verre,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/18,,2004-08-13|2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Theaters|Lobbies|People|Audiences,,
lsu-moa-cwd:22,,E-mail artmuseum@lsu.edu with questions or comments,,,8-7/8 x 6-1/8 in.,,,,,68.9.2|cd000128,,,PA,,,Black lithograph,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/18,,2004-08-03|2004-08-03,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Men|Public speaking|Priests,,
lsu-moa-cwd:26,,E-mail artmuseum@lsu.edu with questions or comments,,,10-5/8 x 10 in.,,,,,68.9.18|cd000149,,,PA,,,Black lithograph,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/18,,2004-08-13|2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Singers|Bars,,
lsu-moa-cwd:34,,E-mail artmuseum@lsu.edu with questions or comments,,,32-1/2 x 40 in.,,,,,91.25|cd000078,,,PA,,,Oil on Canvas,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/18,,2004-08-13|2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Men|Cafes,,
lsu-moa-cwd:46,,E-mail artmuseum@lsu.edu with questions or comments,,,22-7/16 x 16-1/8 in.,,,,,79.19.1|cd000125,,,PA,,,Black lithograph,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/18,,2004-08-03|2004-08-03,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Women|Portraits,,
lsu-moa-cwd:67,,E-mail artmuseum@lsu.edu with questions or comments,,,10-1/2 x 9 in.,,,,,68.9.15|cd000148,,,PA,,,Black lithograph,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/18,,2004-08-13|2004-08-13,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Men|Exiles,,
lsu-moa-cwd:76,,E-mail artmuseum@lsu.edu with questions or comments,,,11-1/2 x 8-1/2 in.,,,,,68.9.26|cd000107,,,PA,,,Black and white lithograph,,"LSU Museum of Art, Shaw Center for the Arts, Baton Rouge, LA",,"Caroline Wogan Durieux Collection at the LSU Museum of Art, Louisiana Digital Library, Baton Rouge, La.",11/14/18,,2004-07-27|2004-07-27,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-moa-cwd:collection,http://www.lib.lsu.edu/sites/default/files/sc/findaid/d3827.html,Physical rights are retained by the Louisiana State University Museum of Art. Copyright is retained in accordance with U. S. copyright laws.,,,,Women|Veils,,
lsu-music-p16313coll69:3185,,"E-mail diglib@lsu.edu with questions or comments about the digital collection. Visit LSU Libraries Music Resources (http://www.lib.lsu.edu/music/) to see the original item. Identify the item using the ""Call number"" in any questions, comments, or requests.",reformatted digital,,,sheet music,,,Movie/Musical,MVK0039|1946MVK0039.pdf,,eng,,,LUU,,,LSU Libraries,Chicago,,2018-12-11-06:00,lsu/rmt|lsu/rmt,2018-10-29|2018-10-29,,http://louisianadigitallibrary.org/islandora/object/lsu-music-p16313coll69:collection,,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Music Resources Department, Louisiana State University Libraries.",,,,,Middleton Library: Carter Music Resources Center,
lsu-sc-benedict:35,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,reformatted digital,,4 pages,Letters (correspondence),,,,4318F1006,,eng,,,LUU,,,LSU Libraries,Saint Charles Parish (La.),"Edwin Benedict Letters, Louisiana Digital Library, Baton Rouge, La.",,lsu/cgz,5/16/20,,https://louisianadigitallibrary.org/islandora/object/lsu-sc-benedict:collection,,Copyright of the original materials in this collection has expired and they are therefore in the public domain.,No Copyright - United States,"MISC:B, Folder 1","Louisiana|History|Civil War, 1861-1865|Louisa Plantation (La.)|Saint Charles Parish (La.)|History|Civil War, 1861-1865",Soldiers|Connecticut|New Haven|Correspondence|United States. Army|Military life|Sugar plantations|Louisiana|Saint Charles Parish|Levee|Mississippi River|Military camps|Louisiana|Saint Charles Parish|Soldiers|Wounds and injuries|Louisiana|Saint Charles Parish|Military telegraph|Louisiana|Saint Charles Parish|Railroads|Louisiana|Saint Charles Parish,Hill Memorial Library: Special Collections,
lsu-sc-benedict:56,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,reformatted digital,,4 pages,Letters (correspondence),,,,4318F1004,,eng,,,LUU,,,LSU Libraries,Brashear City (La.),"Edwin Benedict Letters, Louisiana Digital Library, Baton Rouge, La.",,lsu/cgz,5/15/20,,https://louisianadigitallibrary.org/islandora/object/lsu-sc-benedict:collection,,Copyright of the original materials in this collection has expired and they are therefore in the public domain.,No Copyright - United States,"MISC:B, Folder 1","Teche, Bayou (La.)|Louisiana|History|Civil War, 1861-1865",Soldiers|Connecticut|New Haven|Correspondence|United States. Army|Military life|Oysters|Contamination|Louisiana|Brashear City|Snipers|United States|Battle casualties|Louisiana|Prisoners of war|United States,Hill Memorial Library: Special Collections,
lsu-sc-cff:102,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-03-06:00,,2010-04-07|2010-04-07,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,,,,,,,,Hill Memorial Library: Special Collections,
lsu-sc-cff:118,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-03-06:00,,2010-04-07|2010-04-07,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,,,,,,,,Hill Memorial Library: Special Collections,
lsu-sc-cff:171,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-03-06:00,,2010-04-07|2010-04-07,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,,,,,,,,Hill Memorial Library: Special Collections,
lsu-sc-cff:194,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000|Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000,,letter|letter|letter|letter|letter|letter|letter,,,,,,eng,,,LUU,,,LSU Libraries,,"Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.",2018-12-03-06:00,,2008-07-23|2008-07-23,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-sc-cff:collection,,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",,,,,Hill Memorial Library: Special Collections,
lsu-sc-cff:195,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000|Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000,,letter|letter|letter|letter|letter|letter|letter,,,,,,eng,,,LUU,,,LSU Libraries,,"Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.",2018-12-03-06:00,,2008-07-23|2008-07-23,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-sc-cff:collection,,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",,,,,Hill Memorial Library: Special Collections,
lsu-sc-cff:196,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000|Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000,,letter|letter|letter|letter|letter|letter|letter,,,,,,eng,,,LUU,,,LSU Libraries,,"Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.",2018-12-03-06:00,,2008-07-23|2008-07-23,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-sc-cff:collection,,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",,,,,Hill Memorial Library: Special Collections,
lsu-sc-cff:200,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-03-06:00,,2010-04-07|2010-04-07,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,,,,,,,,Hill Memorial Library: Special Collections,
lsu-sc-cff:223,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,,,,,,,,,eng,,,LUU,,,LSU Libraries,,,2018-12-03-06:00,,2010-04-07|2010-04-07,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,,,,,,,,Hill Memorial Library: Special Collections,
lsu-sc-cff:226,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000|Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000,,letter|letter|letter|letter|letter|letter|letter,,,,,,eng,,,LUU,,,LSU Libraries,,"Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.",2018-12-03-06:00,,2008-09-18|2008-09-18,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-sc-cff:collection,,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",,,,,Hill Memorial Library: Special Collections,
lsu-sc-cff:254,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000|Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000,,letter|letter|letter|letter|letter|letter|letter,,,,,,eng,,,LUU,,,LSU Libraries,,"Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.",2018-12-03-06:00,,2008-08-27|2008-08-27,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-sc-cff:collection,,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",,,,,Hill Memorial Library: Special Collections,
lsu-sc-cff:255,,Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,,Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000|Scanned with a Microtek ScanMaker 1000XL Pro at 300 ppi; saved as TIFF and converted to JPEG2000,,letter|letter|letter|letter|letter|letter|letter,,,,,,eng,,,LUU,,,LSU Libraries,,"Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.",2018-12-03-06:00,,2008-08-27|2008-08-27,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,http://louisianadigitallibrary.org/islandora/object/lsu-sc-cff:collection,,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",,,,,Hill Memorial Library: Special Collections,
