Repeated,XMLPath
1,"mods/titleInfo[@type=""alternative""]/nonSort"
1,"mods/titleInfo[@type=""alternative""]"
1,"mods/titleInfo[@displayLabel=""Title""]/subTitle"
1,"mods/titleInfo[@displayLabel=""Title""]/title"
1,"mods/titleInfo[@displayLabel=""Title""]/nonSort"
1,"mods/identifier[@type=""local""]"
1,mods/part
1,"mods/originInfo/dateCaptured[@encoding=""w3cdtf""]"
1,"mods/part/detail[@type=""Volume""]"
1,"mods/originInfo/dateIssued[@encoding=""w3cdtf""]"
1,mods/originInfo/publisher
1,"mods/titleInfo[@displayLabel=""Title""]"
1,mods/originInfo/place
1,mods/originInfo
1,"mods/name[@type=""family""]/role/roleTerm[@type=""code""]"
1,"mods/name[@type=""family""]/role/roleTerm[@type=""text""]"
1,"mods/name[@type=""family""]/namePart"
1,"mods/name[@type=""family""]"
1,"mods/name[@type=""corporate""]/role/roleTerm[@type=""code""]"
1,"mods/name[@type=""conference""]/role/roleTerm[@type=""code""]"
1,"mods/name[@type=""conference""]/role/roleTerm[@type=""text""]"
1,"mods/name[@type=""conference""]/namePart"
1,"mods/name[@type=""conference""]"
1,"mods/name[@type=""personal""]/role/roleTerm[@type=""code""]"
1,"mods/name[@type=""personal""]/role/roleTerm[@type=""text""]"
1,"mods/name[@type=""personal""]/namePart"
1,"mods/name[@type=""personal""]"
1,"mods/part/detail[@type=""Volume""]/title"
1,"mods/part/detail[@type=""Volume""]/number"
1,"mods/part/detail[@type=""Volume""]/caption"
1,"mods/recordInfo/languageOfCataloging/languageTerm[@type=""code""]"
